"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch059", "récit", "", "", "", "Afrique"
"ch059", "récit", "http://www.wikidata.org/entity/Q218272", "", "French Algeria", "Algérie"
"ch059", "récit", "http://www.wikidata.org/entity/Q21", "", "England", "Angleterre"
"ch059", "récit", "", "", "", "Zanzibar"
"ch059", "récit", "http://www.wikidata.org/entity/Q2222874", "", "Zanzibar City", "Zanzibar"
"ch059", "récit", "http://www.wikidata.org/entity/Q2222874", "", "Zanzibar City", "Zanzibar"
"ch059", "questionnaire", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch059", "morale", "http://www.wikidata.org/entity/Q27394", "", "Southern Africa", "Afrique méridionale"
"ch059", "morale", "http://www.wikidata.org/entity/Q21", "", "England", "Angleterre"
"ch059", "morale", "http://www.wikidata.org/entity/Q116254264", "", "Cafreria", "Cafrerie"
"ch059", "morale", "http://www.wikidata.org/entity/Q1000", "", "Gabon", "Gabon"
"ch059", "morale", "http://www.wikidata.org/entity/Q1000", "", "Gabon", "Gabon"
"ch059", "morale", "http://www.wikidata.org/entity/Q318306", "", "Quelimane", "Quilimané"
"ch059", "morale", "http://www.wikidata.org/entity/Q3897", "", "Luanda", "Saint-Paul de Loanda"
"ch059", "morale", "http://www.wikidata.org/entity/Q739364", "", "Westminster Cathedral", "Westminster"
"ch059", "morale", "http://www.wikidata.org/entity/Q87982", "", "African Great Lakes", "grands lacs"
"ch059", "morale", "http://www.wikidata.org/entity/Q255634", "", "Equatorial Africa", "région équatoriale de l'Afrique"
"ch059", "morale", "http://www.wikidata.org/entity/Q22", "", "Scotland", "Écosse"
"ch059", "français", "http://www.wikidata.org/entity/Q183", "", "Germany", "Allemagne"
"ch059", "français", "http://www.wikidata.org/entity/Q21", "", "England", "Angleterre"
"ch059", "français", "http://www.wikidata.org/entity/Q31", "", "Belgium", "Belgique"
"ch059", "français", "http://www.wikidata.org/entity/Q55", "", "Netherlands", "Hollande"
"ch059", "français", "http://www.wikidata.org/entity/Q28", "", "Hungary", "Hongrie"
"ch059", "français", "http://www.wikidata.org/entity/Q159", "", "Russia", "Russie"
"ch059", "français", "http://www.wikidata.org/entity/Q39", "", "Switzerland", "Suisse"
"ch059", "géographie", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch059", "géographie", "http://www.wikidata.org/entity/Q3844", "", "Brazzaville", "Brazzaville"
"ch059", "géographie", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch059", "géographie", "http://www.wikidata.org/entity/Q459369", "", "Franceville", "Franceville"
"ch059", "géographie", "http://www.wikidata.org/entity/Q750025", "", "Pool Malebo", "Stanley-Pool"
"ch059", "géographie", "", "", "", "côte du Gabon"
