"Chapter", "Section", "Ref", "SameAs", "Key", "Place"
"ch061", "récit", "", "", "", "Afrique"
"ch061", "récit", "", "", "", "Sahara"
"ch061", "récit", "http://www.wikidata.org/entity/Q508014", "", "French Sudan", "Soudan"
"ch061", "récit", "http://www.wikidata.org/entity/Q9427", "", "Timbuktu", "Tombouctou"
"ch061", "récit", "", "", "", "Zambèze"
"ch061", "questionnaire", "http://www.wikidata.org/entity/Q9427", "", "Timbuktu", "Tombouctou"
"ch061", "questionnaire", "", "", "", "Zambèze"
"ch061", "morale", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch061", "morale", "http://www.wikidata.org/entity/Q48", "", "Asia", "Asie"
"ch061", "morale", "http://www.wikidata.org/entity/Q55643", "", "Oceania", "Océanie"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q18", "", "South America", "Amérique"
"ch061", "sciences_naturelles", "", "", "", "Australie"
"ch061", "sciences_naturelles", "", "", "", "Californie"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q99", "", "California", "Californie"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q29520", "", "China", "Chine"
"ch061", "sciences_naturelles", "http://www.wikidata.org/entity/Q142", "", "France", "France"
"ch061", "géographie", "http://www.wikidata.org/entity/Q15", "", "Africa", "Afrique"
"ch061", "géographie", "http://www.wikidata.org/entity/Q1000", "", "Gabon", "Gabon"
"ch061", "géographie", "", "", "", "Niger"
"ch061", "géographie", "", "", "", "Sénégal"
"ch061", "géographie", "", "", "", "Sénégal"
"ch061", "géographie", "http://www.wikidata.org/entity/Q9427", "", "Timbuktu", "Tombouctou"
