"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch008", "récit", "ingrédient", "éparco", "aromate", "Aromate"
"ch008", "récit", "mets", "", "mets assaisonné", "Mets assaisonné"
"ch008", "récit", "mets", "", "ragoût", "Ragoût"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "récit", "ingrédient", "éparco", "aromate", "aromates "
"ch008", "récit", "produit", "éparco", "giroflier", "bouton à fleur du giroflier"
"ch008", "récit", "mets", "", "charbon", "charbon"
"ch008", "récit", "ingrédient", "éparco", "clou de grirofle", "clou de girofle"
"ch008", "récit", "mets", "", "alimentation", "cuisine"
"ch008", "récit", "mets", "", "alimentation", "cuisine"
"ch008", "récit", "ustensile", "", "eau", "eau"
"ch008", "récit", "produit", "éparco", "laurier", "feuille du laurier"
"ch008", "récit", "produit", "éparco", "muscadier", "fruit du muscadier"
"ch008", "récit", "ustensile", "", "marmite", "la marmite"
"ch008", "récit", "ingrédient", "légume", "légume", "légume"
"ch008", "récit", "ingrédient", "légume", "légume", "légumes"
"ch008", "récit", "mets", "", "met", "mets"
"ch008", "récit", "ingrédient", "carné", "viande", "morceau de viande"
"ch008", "récit", "produit", "éparco", "noix de muscade", "noix de muscade"
"ch008", "récit", "produit", "éparco", "muscadier", "plante"
"ch008", "récit", "produit", "éparco", "thym", "plante odoriférante"
"ch008", "récit", "ustensile", "", "poêle", "poêle"
"ch008", "récit", "mets", "", "ragout", "ragoût"
"ch008", "récit", "mets", "", "ragoût", "ragoût"
"ch008", "récit", "mets", "", "ragoût", "ragoût brûlé"
"ch008", "récit", "", "", "repas", "repas"
"ch008", "récit", "mets", "", "soupe", "soupe"
"ch008", "récit", "mets", "", "alimentation", "table"
"ch008", "récit", "ingrédient", "éparco", "thym", "thym"
"ch008", "récit", "ingrédient", "carné", "viande", "viande découpée"
"ch008", "questionnaire", "mets", "", "met", "mets"
"ch008", "questionnaire", "", "", "repas", "repas "
"ch008", "français", "", "", "", "marmite"
"ch008", "français", "mets", "", "ragoût", "ragoût"
"ch008", "français", "", "", "", " table"
"ch008", "économie_domestique", "ingrédient", "éparco", "poireau", " poireau"
"ch008", "économie_domestique", "ingrédient", "éparco", "thym", " thym"
"ch008", "économie_domestique", "ingrédient", "éparco", "anis", "'anis"
"ch008", "économie_domestique", "ingrédient", "éparco", "ail", "ail"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "éparco", "aromate", "aromates"
"ch008", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre frais"
"ch008", "économie_domestique", "ingrédient", "éparco", "cannelle", "cannelle"
"ch008", "économie_domestique", "ingrédient", "éparco", "capucine", "capucines"
"ch008", "économie_domestique", "ingrédient", "éparco", "cerfeuil", "cerfeuil"
"ch008", "économie_domestique", "ingrédient", "éparco", "ciboule", "ciboule"
"ch008", "économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"ch008", "économie_domestique", "ingrédient", "éparco", "condiment", "condiments"
"ch008", "économie_domestique", "mets", "", "alimentation", "cuisine"
"ch008", "économie_domestique", "ingrédient", "éparco", "câpre", "câpres"
"ch008", "économie_domestique", "ingrédient", "éparco", "estragon", "estragon"
"ch008", "économie_domestique", "ustensile", "", "feu", "feu"
"ch008", "économie_domestique", "ustensile", "", "feu", "feu"
"ch008", "économie_domestique", "ustensile", "", "fourneau", "fourneau"
"ch008", "économie_domestique", "ingrédient", "éparco", "girolfle", "girofle"
"ch008", "économie_domestique", "ingrédient", "carné", "viande", "jus"
"ch008", "économie_domestique", "ustensile", "", "casserole", "la casserole"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch008", "économie_domestique", "ingrédient", "carné", "lard", "lard"
